subject;predicate;object;0/1,
http://dbpedia.org/resource/20,000_Years_in_Sing_Sing;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Darryl_F._Zanuck;1
http://dbpedia.org/resource/20,000_Years_in_Sing_Sing;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Raymond_Griffith;1
http://dbpedia.org/resource/ABBA:_The_Movie;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Reg_Grundy;1,
http://dbpedia.org/resource/ABBA:_The_Movie;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Stig_Anderson;1,
http://dbpedia.org/resource/A_Gentleman_of_Paris_(1931_film);http://dbpedia.org/property/producer;http://dbpedia.org/resource/Michael_Balcon;1,
http://dbpedia.org/resource/Adventure's_End;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Trem_Carr;1,
http://dbpedia.org/resource/All_the_Fine_Young_Cannibals;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Pandro_S._Berman;1,
http://dbpedia.org/resource/All_the_Love_You_Cannes!;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Michael_Herz_(producer);1,
http://dbpedia.org/resource/Along_Came_Jones_(film);http://dbpedia.org/property/producer;http://dbpedia.org/resource/Gary_Cooper;1,
http://dbpedia.org/resource/Annie_(1982_film);http://dbpedia.org/property/producer;http://dbpedia.org/resource/Ray_Stark;1,
http://dbpedia.org/resource/Batman_OnStar_commercials;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Peter_MacGregor-Scott;1,
http://dbpedia.org/resource/Bert_Rigby,_You're_a_Fool;http://dbpedia.org/property/producer;http://dbpedia.org/resource/George_Shapiro;1
http://dbpedia.org/resource/Beverly_Hills_Chihuahua;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Todd_Lieberman;1,
http://dbpedia.org/resource/Beverly_Hills_Chihuahua;http://dbpedia.org/property/producer;http://dbpedia.org/resource/John_Jacobs_(producer);1,
http://dbpedia.org/resource/Beverly_Hills_Chihuahua;http://dbpedia.org/property/producer;http://dbpedia.org/resource/David_Hoberman;1,
http://dbpedia.org/resource/Blood_Creek;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Paul_Brooks;1,
http://dbpedia.org/resource/Brass_Target;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Berle_Adams;1,
http://dbpedia.org/resource/Busting;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Robert_Chartoff;1,
http://dbpedia.org/resource/Busting;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Irwin_Winkler;1,
http://dbpedia.org/resource/Call_for_Love;http://dbpedia.org/property/producer;http://dbpedia.org/resource/Han_Sanping;1,
