subject;predicate;object;0/1,
http://dbpedia.org/resource/20,000_Years_in_Sing_Sing;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/First_National_Pictures;1
http://dbpedia.org/resource/ABBA:_The_Movie;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Reg_Grundy_Organisation;1,
http://dbpedia.org/resource/A_Gentleman_of_Paris_(1931_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Gaumont-British;1,
http://dbpedia.org/resource/Adventure's_End;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Universal_Pictures;1,
http://dbpedia.org/resource/All_the_Fine_Young_Cannibals;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Metro-Goldwyn-Mayer;1,
http://dbpedia.org/resource/All_the_Love_You_Cannes!;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Troma_Entertainment;1,
http://dbpedia.org/resource/Along_Came_Jones_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/International_Pictures;1,
http://dbpedia.org/resource/Amphitryon_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/UFA_GmbH;1,
http://dbpedia.org/resource/Annie_(1982_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Ray_Stark;1,
http://dbpedia.org/resource/Batman_OnStar_commercials;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;1,
http://dbpedia.org/resource/Bert_Rigby,_You're_a_Fool;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Lorimar_Television;1
http://dbpedia.org/resource/Beverly_Hills_Chihuahua;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Pictures;1,
http://dbpedia.org/resource/Blood_Creek;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Gold_Circle_Films;1,
http://dbpedia.org/resource/Brass_Target;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Metro-Goldwyn-Mayer;1,
http://dbpedia.org/resource/Busting;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/United_Artists;1,
http://dbpedia.org/resource/Call_for_Love;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Orange_Sky_Golden_Harvest;1,
http://dbpedia.org/resource/Charlie_Bartlett;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Sidney_Kimmel_Entertainment;1,
http://dbpedia.org/resource/Checking_Out_(1989_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/HandMade_Films;1,
http://dbpedia.org/resource/Chip_an'_Dale;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/The_Walt_Disney_Company;1,
http://dbpedia.org/resource/Command_Decision_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Metro-Goldwyn-Mayer;1,
http://dbpedia.org/resource/Commandos_Strike_at_Dawn;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Columbia_Pictures;1,
http://dbpedia.org/resource/Conflict_(1936_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Universal_Pictures;1,
http://dbpedia.org/resource/Cry_'Havoc'_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Metro-Goldwyn-Mayer;1,
http://dbpedia.org/resource/Double_Dribble_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Walt_Disney_Animation_Studios;1,
http://dbpedia.org/resource/Double_or_Nothing_(1937_film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Paramount_Pictures;1,
http://dbpedia.org/resource/Dr._Renault's_Secret;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/20th_Century_Studios;1,
http://dbpedia.org/resource/Eastern_Condors;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Sammo_Hung;1,
http://dbpedia.org/resource/Elegy_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Lakeshore_Entertainment;1,
http://dbpedia.org/resource/Force_of_Arms;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Warner_Bros.;1,
http://dbpedia.org/resource/Funny_Girl_(film);http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Ray_Stark;1,
http://dbpedia.org/resource/Futurama:_Bender's_Game;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/The_ULULU_Company;1,
http://dbpedia.org/resource/Futurama:_Bender's_Game;http://dbpedia.org/ontology/productionCompany;http://dbpedia.org/resource/Rough_Draft_Studios;1,
