subject;object;predicate;0/1
http://dbpedia.org/resource/Gods_and_Monsters_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Lynn_Redgrave;1
http://dbpedia.org/resource/Bill_&_Ted's_Bogus_Journey;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Alex_Winter;1
http://dbpedia.org/resource/Kamaladalam;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Parvathy_Jayaram;1
http://dbpedia.org/resource/When_Harry_Met_Sally...;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Carrie_Fisher;1
http://dbpedia.org/resource/Jack_the_Giant_Slayer;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ewan_McGregor;1
http://dbpedia.org/resource/True_Grit_(2010_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Josh_Brolin;1
http://dbpedia.org/resource/Kanchana_(1952_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/M._N._Nambiar;1
http://dbpedia.org/resource/Diary_of_a_Wimpy_Kid:_Rodrick_Rules_(2011_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Zachary_Gordon;1
http://dbpedia.org/resource/Oru_Sundariyude_Katha;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jayabharathi;1
http://dbpedia.org/resource/Kinsey_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Tim_Curry;1
http://dbpedia.org/resource/Casper:_A_Spirited_Beginning;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Bill_Farmer;1
http://dbpedia.org/resource/Kanchana_(1952_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Padmini_(actress);1
http://dbpedia.org/resource/Password_(2019_Bangladeshi_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Misha_Sawdagor;1
http://dbpedia.org/resource/The_King's_Speech;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Derek_Jacobi;1
http://dbpedia.org/resource/Love_Action_Drama;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Nivin_Pauly;1
http://dbpedia.org/resource/Casper:_A_Spirited_Beginning;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jess_Harnell;1
http://dbpedia.org/resource/The_Villain_(2018_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Tilak_Shekar;1
http://dbpedia.org/resource/Blue_Streak_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Dave_Chappelle;1
http://dbpedia.org/resource/Kannika;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/N._S._Krishnan;1
http://dbpedia.org/resource/Kanchana_(1952_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Lalitha_(actress);1
http://dbpedia.org/resource/Red_Dog_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/John_Batchelor_(actor);1
http://dbpedia.org/resource/Sherlock_Holmes:_A_Game_of_Shadows;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Eddie_Marsan;1
http://dbpedia.org/resource/Onnu_Muthal_Poojyam_Vare;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Mohanlal;1
http://dbpedia.org/resource/Martin_(1978_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/John_Amplas;1
http://dbpedia.org/resource/Nameless_Gangster:_Rules_of_the_Time;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Choi_Min-sik;1
http://dbpedia.org/resource/The_King's_Speech;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Geoffrey_Rush;1
http://dbpedia.org/resource/51_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jason_London;1
http://dbpedia.org/resource/Blond_Arrow;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Antonio_Ozores;1
http://dbpedia.org/resource/Kismat_Konnection;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Juhi_Chawla;1
http://dbpedia.org/resource/Saving_Silverman;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jason_Biggs;1
http://dbpedia.org/resource/Aan;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Nimmi;1
http://dbpedia.org/resource/Gods_and_Monsters_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Brendan_Fraser;1
http://dbpedia.org/resource/Jack_the_Giant_Slayer;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Nicholas_Hoult;1
http://dbpedia.org/resource/A_Guy_Thing;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jason_Lee_(actor);1
http://dbpedia.org/resource/A_Guy_Thing;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Shawn_Hatosy;1
http://dbpedia.org/resource/Kismat_Konnection;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Vishal_Malhotra;1
http://dbpedia.org/resource/The_Day_After_Tomorrow;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Dennis_Quaid;1
http://dbpedia.org/resource/Lord_of_the_Flies_(1990_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/James_Badge_Dale;1
http://dbpedia.org/resource/Kinsey_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Laura_Linney;1
http://dbpedia.org/resource/Imagining_Argentina_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Leticia_Dolera;1
http://dbpedia.org/resource/Cruel_Intentions_3;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Kerr_Smith;1
http://dbpedia.org/resource/The_Villain_(2018_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Mithun_Chakraborty;1
http://dbpedia.org/resource/The_Tortured;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Bill_Moseley;1
http://dbpedia.org/resource/Stowaway_on_Board;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Fernando_Sancho;1
http://dbpedia.org/resource/Casper_Meets_Wendy;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Richard_Moll;1
http://dbpedia.org/resource/Torque_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ice_Cube;1
http://dbpedia.org/resource/C.I.D._(1955_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Prem_Nazir;1
http://dbpedia.org/resource/Torque_(film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Martin_Henderson;1
http://dbpedia.org/resource/Speed_(1994_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Joe_Morton;1
http://dbpedia.org/resource/Password_(2019_Bangladeshi_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Shobnom_Bubly;1
