subject;predicate;object;0/1,
http://dbpedia.org/resource/Arnall_Patz;http://dbpedia.org/property/education;http://dbpedia.org/resource/Emory_University;1,
http://dbpedia.org/resource/David_Keightley;http://dbpedia.org/property/education;http://dbpedia.org/resource/New_York_University;1,
http://dbpedia.org/resource/David_Keightley;http://dbpedia.org/property/education;http://dbpedia.org/resource/Columbia_University;1,
http://dbpedia.org/resource/Donald_Hopkins;http://dbpedia.org/property/education;http://dbpedia.org/resource/Morehouse_College;1,
http://dbpedia.org/resource/Donald_Hopkins;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Chicago;1,
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Science_and_Technology_of_China;1,
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_California,_Berkeley;1
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/property/education;http://dbpedia.org/resource/Harvard_University;1,
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Bristol;1,
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Ghana;1,
http://dbpedia.org/resource/James_Unnever;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Florida;1,
http://dbpedia.org/resource/James_Unnever;http://dbpedia.org/property/education;http://dbpedia.org/resource/Duke_University;1,
http://dbpedia.org/resource/James_Unnever;http://dbpedia.org/property/education;http://dbpedia.org/resource/New_Mexico_State_University;1,
http://dbpedia.org/resource/Malcolm_Baker;http://dbpedia.org/property/education;http://dbpedia.org/resource/Brown_University;1,
http://dbpedia.org/resource/Mike_Paterson;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Cambridge;1,
http://dbpedia.org/resource/Mona_Lynch;http://dbpedia.org/property/education;http://dbpedia.org/resource/Stanford_University;1,
http://dbpedia.org/resource/Mona_Lynch;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_California,_Santa_Cruz;1
http://dbpedia.org/resource/Robin_Engel;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_at_Albany,_SUNY;1
http://dbpedia.org/resource/John_C._Crabbe;http://dbpedia.org/property/education;http://dbpedia.org/resource/Stanford_University;1,
http://dbpedia.org/resource/Charles_Geschke;http://dbpedia.org/property/education;http://dbpedia.org/resource/Xavier_University;1,
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Chicago;1,
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_California,_Berkeley;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/property/education;http://dbpedia.org/resource/California_Institute_of_Technology;1,
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/property/education;http://dbpedia.org/resource/California_Institute_of_Technology;1,
http://dbpedia.org/resource/Stephen_R._Bourne;http://dbpedia.org/property/education;http://dbpedia.org/resource/King's_College_London;1,
http://dbpedia.org/resource/June_Lloyd,_Baroness_Lloyd_of_Highbury;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Bristol;1
http://dbpedia.org/resource/Kenneth_G._Wilson;http://dbpedia.org/property/education;http://dbpedia.org/resource/Harvard_University;1,
http://dbpedia.org/resource/Scott_Fahlman;http://dbpedia.org/property/education;http://dbpedia.org/resource/Massachusetts_Institute_of_Technology;1,
http://dbpedia.org/resource/Norman_Allinger;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_California;1,
http://dbpedia.org/resource/William_Michael_Lynn;http://dbpedia.org/property/education;http://dbpedia.org/resource/Ohio_State_University;1,
http://dbpedia.org/resource/Garland_E._Allen;http://dbpedia.org/property/education;http://dbpedia.org/resource/Harvard_University;1,
http://dbpedia.org/resource/Garland_E._Allen;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Louisville;1,
http://dbpedia.org/resource/Harold_Agnew;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Denver;1,
http://dbpedia.org/resource/Vincenzo_Di_Nicola;http://dbpedia.org/property/education;http://dbpedia.org/resource/McGill_University;1,
http://dbpedia.org/resource/Vincenzo_Di_Nicola;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_London;1,
http://dbpedia.org/resource/Walter_Hayman;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Cambridge;1,
http://dbpedia.org/resource/Catherine_J._Murphy;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Illinois_Urbana-Champaign;1,
http://dbpedia.org/resource/Catherine_J._Murphy;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Wisconsin–Madison;1,
http://dbpedia.org/resource/Nancy_Pedersen;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Minnesota;1,
http://dbpedia.org/resource/Douglas_Easton;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_London;1,
http://dbpedia.org/resource/Douglas_Easton;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Cambridge;1,
http://dbpedia.org/resource/Gilbert_Gee;http://dbpedia.org/property/education;http://dbpedia.org/resource/Oberlin_College;1,
http://dbpedia.org/resource/Gilbert_Gee;http://dbpedia.org/property/education;http://dbpedia.org/resource/Johns_Hopkins_University;1,
http://dbpedia.org/resource/David_Wheeler_(computer_scientist);http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Cambridge;1,
http://dbpedia.org/resource/Stephanie_Kwolek;http://dbpedia.org/property/education;http://dbpedia.org/resource/Carnegie_Mellon_University;1,
http://dbpedia.org/resource/Dan_Ingalls;http://dbpedia.org/property/education;http://dbpedia.org/resource/Harvard_University;1,
http://dbpedia.org/resource/Jon_Kleinberg;http://dbpedia.org/property/education;http://dbpedia.org/resource/Massachusetts_Institute_of_Technology;1,
http://dbpedia.org/resource/Jon_Kleinberg;http://dbpedia.org/property/education;http://dbpedia.org/resource/Cornell_University;1,
http://dbpedia.org/resource/Paul_Milgrom;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Michigan;1,
http://dbpedia.org/resource/David_H._Frisch;http://dbpedia.org/property/education;http://dbpedia.org/resource/Princeton_University;1,
