subject;predicate;object;0/1,
http://dbpedia.org/resource/Arnall_Patz;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Childhood_blindness;1,
http://dbpedia.org/resource/David_Keightley;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Oracle_bone_script;1,
http://dbpedia.org/resource/Donald_Hopkins;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Neglected_tropical_diseases;1,
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Super-resolution_microscopy;1,
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Exoplanet;1,
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Nebular_hypothesis;1,
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Brown_dwarf;1,
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Popular_science;1,
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Mycology;1,
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Plant_pathology;1,
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/West_Africa;1,
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Science_education;1,
http://dbpedia.org/resource/James_Unnever;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Race_and_crime_in_the_United_States;1,
http://dbpedia.org/resource/Malcolm_Baker;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Rowing_at_the_1992_Summer_Olympics;1,
http://dbpedia.org/resource/Mike_Paterson;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Analysis_of_algorithms;1,
