subject;predicate;object;0/1,,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1,,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Indian_Universities;1,,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Indian_Council_of_Agricultural_Research;1,,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1,,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/National_Assessment_and_Accreditation_Council;1,,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Bar_Council_of_India;1,,
http://dbpedia.org/resource/Bangladesh_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1,,
http://dbpedia.org/resource/Biju_Patnaik_University_of_Technology;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/All_India_Council_for_Technical_Education;1,,
http://dbpedia.org/resource/Brazosport_College;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Southern_Association_of_Colleges_and_Schools;1,,
http://dbpedia.org/resource/Comilla_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1,,
http://dbpedia.org/resource/Dhaka_International_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1,,
http://dbpedia.org/resource/Eastern_University_(Bangladesh);http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1,,
http://dbpedia.org/resource/Eastern_University_(Bangladesh);http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Institution_of_Engineers,_Bangladesh;1,
http://dbpedia.org/resource/GIFT_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Higher_Education_Commission_(Pakistan);1,,
http://dbpedia.org/resource/GIFT_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Pakistan_Engineering_Council;1,,
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1,
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/ASEAN_University_Network;1,
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/International_Association_of_Universities;1,
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Islamic_World_Educational,_Scientific_and_Cultural_Organization;1
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1,
http://dbpedia.org/resource/Jawaharlal_Nehru_Krishi_Vishwa_Vidyalaya;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1,,
http://dbpedia.org/resource/Jawaharlal_Nehru_Krishi_Vishwa_Vidyalaya;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Indian_Council_of_Agricultural_Research;1,,
http://dbpedia.org/resource/Jinnah_University_for_Women;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Higher_Education_Commission_(Pakistan);1,,
http://dbpedia.org/resource/Metropolitan_University,_Sylhet;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;1,
http://dbpedia.org/resource/Metropolitan_University,_Sylhet;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1,
http://dbpedia.org/resource/Murari_Chand_College;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/National_University,_Bangladesh;1,
http://dbpedia.org/resource/Pakistan_Shipowners'_Government_College;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Karachi;1,,
http://dbpedia.org/resource/Prime_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Ministry_of_Education_(Bangladesh);1,,
http://dbpedia.org/resource/Prime_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);1,,
http://dbpedia.org/resource/Rachna_College_of_Engineering_&_Technology;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Engineering_and_Technology,_Lahore;1,
http://dbpedia.org/resource/Rachna_College_of_Engineering_&_Technology;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Pakistan_Engineering_Council;1,,
http://dbpedia.org/resource/Rani_Durgavati_Vishwavidyalaya;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);1,,
