subject;predicate;object;0/1,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Lucknow;1,
http://dbpedia.org/resource/Bangladesh_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhaka;1,
http://dbpedia.org/resource/Biju_Patnaik_University_of_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Rourkela;1,
http://dbpedia.org/resource/Biju_Patnaik_University_of_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Chhend_Colony;1,
http://dbpedia.org/resource/Brazosport_College;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Lake_Jackson,_Texas;1
http://dbpedia.org/resource/Comilla_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Comilla;1,
http://dbpedia.org/resource/Dhaka_International_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhaka;1,
http://dbpedia.org/resource/Eastern_University_(Bangladesh);http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhaka;1,
http://dbpedia.org/resource/GIFT_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Gujranwala;1,
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Kushtia;1
http://dbpedia.org/resource/Jawaharlal_Nehru_Krishi_Vishwa_Vidyalaya;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Jabalpur;1,
http://dbpedia.org/resource/Jinnah_University_for_Women;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Karachi;1,
http://dbpedia.org/resource/Metropolitan_University,_Sylhet;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sylhet;1
http://dbpedia.org/resource/Murari_Chand_College;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sylhet;1,
http://dbpedia.org/resource/Pakistan_Shipowners'_Government_College;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Karachi;1,
http://dbpedia.org/resource/Prime_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhaka;1,
http://dbpedia.org/resource/Rachna_College_of_Engineering_&_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Gujranwala;1,
http://dbpedia.org/resource/Rani_Durgavati_Vishwavidyalaya;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Jabalpur;1,
http://dbpedia.org/resource/Thiruvalluvar_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Vellore;1,
http://dbpedia.org/resource/United_International_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhaka;1,
http://dbpedia.org/resource/University_of_Nottingham_Ningbo_China;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Ningbo;1,
http://dbpedia.org/resource/University_of_South_Africa;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Pretoria;1,
http://dbpedia.org/resource/University_of_Television_and_Film_Munich;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Munich;1,
http://dbpedia.org/resource/University_of_Wollongong_in_Dubai;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dubai;1,
http://dbpedia.org/resource/University_of_the_Arts_Bremen;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Bremen;1,
http://dbpedia.org/resource/Victoria_University_of_Bangladesh;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhaka;1,
http://dbpedia.org/resource/Vikram_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Ujjain;1,
http://dbpedia.org/resource/World_University_of_Bangladesh;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhaka;1,
http://dbpedia.org/resource/Ajloun_National_Private_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Ajloun;1,
http://dbpedia.org/resource/Alfred_Nobel_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dnipro;1,
http://dbpedia.org/resource/Bearys_Institute_of_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Mangalore;1,
http://dbpedia.org/resource/Bhavan's_Vivekananda_College;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Secunderabad;1,
http://dbpedia.org/resource/Central_University_of_Kashmir;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Ganderbal;1,
http://dbpedia.org/resource/College_of_Engineering_Karunagappally;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Karunagappalli;1,
http://dbpedia.org/resource/Creighton_University_School_of_Medicine;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Omaha,_Nebraska;1
http://dbpedia.org/resource/Faculty_of_Health_Sciences_and_Physical_Culture_of_Kazimierz_Pułaski_University_of_Technology_and_Humanities_in_Radom;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Radom;1,
http://dbpedia.org/resource/Jadara_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Irbid;1,
http://dbpedia.org/resource/Jerash_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Jerash;1,
http://dbpedia.org/resource/Kunsthochschule_Kassel;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Kassel;1,
