subject;predicate;object;0/1,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/Bangladesh_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;1,
http://dbpedia.org/resource/Biju_Patnaik_University_of_Technology;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/Brazosport_College;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/Comilla_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/Dhaka_International_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;1,
http://dbpedia.org/resource/Eastern_University_(Bangladesh);http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;1,
http://dbpedia.org/resource/GIFT_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;1,
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1
http://dbpedia.org/resource/Jawaharlal_Nehru_Krishi_Vishwa_Vidyalaya;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/Jinnah_University_for_Women;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;1,
http://dbpedia.org/resource/Metropolitan_University,_Sylhet;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;1
http://dbpedia.org/resource/Murari_Chand_College;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/Pakistan_Shipowners'_Government_College;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/Prime_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;1,
http://dbpedia.org/resource/Rachna_College_of_Engineering_&_Technology;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/Rani_Durgavati_Vishwavidyalaya;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/Thiruvalluvar_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/United_International_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;1,
http://dbpedia.org/resource/University_of_Nottingham_Ningbo_China;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/University_of_South_Africa;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
http://dbpedia.org/resource/University_of_Television_and_Film_Munich;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;1,
