subject;predicate;object;0/1,
http://dbpedia.org/resource/The_Virgin_Queen_(1928_film);http://dbpedia.org/property/director;http://dbpedia.org/resource/Levan_Gabriadze;0,
http://dbpedia.org/resource/Bury_Me_Dead;http://dbpedia.org/property/director;http://dbpedia.org/resource/Seth_MacFarlane;0,
http://dbpedia.org/resource/Nameless_Men;http://dbpedia.org/property/director;http://dbpedia.org/resource/Renny_Harlin;0,
http://dbpedia.org/resource/Deep_Blue_Sea_(1999_film);http://dbpedia.org/property/director;http://dbpedia.org/resource/James_P._Hogan_(director);0,
http://dbpedia.org/resource/The_Island_(1934_film);http://dbpedia.org/property/director;http://dbpedia.org/resource/Friz_Freleng;0,
http://dbpedia.org/resource/The_Life_of_Larry_and_Larry_&_Steve;http://dbpedia.org/property/director;http://dbpedia.org/resource/Frank_McDonald_(director);0,
http://dbpedia.org/resource/That_Certain_Age;http://dbpedia.org/property/director;http://dbpedia.org/resource/Edward_Ludwig;0,
http://dbpedia.org/resource/Arrest_Bulldog_Drummond;http://dbpedia.org/property/director;http://dbpedia.org/resource/Jeffrey_Dell;0,
http://dbpedia.org/resource/Samrat_&_Co.;http://dbpedia.org/property/director;http://dbpedia.org/resource/J._Lee_Thompson;0,
http://dbpedia.org/resource/Murder_Without_Crime;http://dbpedia.org/property/director;http://dbpedia.org/resource/Orson_Welles;0,
http://dbpedia.org/resource/Bone_Trouble;http://dbpedia.org/property/director;http://dbpedia.org/resource/Graham_Cutts;0,
http://dbpedia.org/resource/A_Tremendously_Rich_Man;http://dbpedia.org/property/director;http://dbpedia.org/resource/Craig_R._Baxley;0,
http://dbpedia.org/resource/Yolki_3;http://dbpedia.org/property/director;http://dbpedia.org/resource/William_C._McGann;0,
http://dbpedia.org/resource/Kaalapani;http://dbpedia.org/property/director;http://dbpedia.org/resource/Chor_Yuen;0,
http://dbpedia.org/resource/Mr._Mouse_Takes_a_Trip;http://dbpedia.org/property/director;http://dbpedia.org/resource/George_Miller_(filmmaker);0,
http://dbpedia.org/resource/Sally_in_Our_Alley_(1927_film);http://dbpedia.org/property/director;http://dbpedia.org/resource/Scot_McFadyen;0,
http://dbpedia.org/resource/Babe:_Pig_in_the_City;http://dbpedia.org/property/director;http://dbpedia.org/resource/Vincent_Sherman;0,
http://dbpedia.org/resource/The_Indian_Scarf;http://dbpedia.org/property/director;http://dbpedia.org/resource/Christy_Cabanne;0,
