subject;predicate;object;0/1
http://dbpedia.org/resource/The_King's_Speech;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Tommy_Lee_Jones;0
http://dbpedia.org/resource/Paddington_2;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Reese_Witherspoon;0
http://dbpedia.org/resource/Casper:_A_Spirited_Beginning;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Prem_Nazir;0
http://dbpedia.org/resource/True_Grit_(2010_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Balthazar_Getty;0
http://dbpedia.org/resource/Stowaway_on_Board;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ewan_McGregor;0
http://dbpedia.org/resource/Aavida_Maa_Aavide;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Helena_Bonham_Carter;0
http://dbpedia.org/resource/Bill_&_Ted's_Bogus_Journey;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jeremy_Foley_(actor);0
http://dbpedia.org/resource/Creepshow;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Helena_Bonham_Carter;0
http://dbpedia.org/resource/The_Villain_(2018_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Edward_Norton;0
http://dbpedia.org/resource/Stowaway_on_Board;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Leslie_Nielsen;0
http://dbpedia.org/resource/Torrente_3:_El_protector;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Selma_Blair;0
http://dbpedia.org/resource/Day_of_the_Dead_(1985_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Eileen_Walsh;0
http://dbpedia.org/resource/Stowaway_on_Board;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/G._K._Pillai_(actor);0
http://dbpedia.org/resource/True_Grit_(2010_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Kumari_Thankam;0
http://dbpedia.org/resource/El_abanderado;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Antonio_Ozores;0
http://dbpedia.org/resource/Day_of_the_Dead_(1985_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Jonathan_Tucker;0
http://dbpedia.org/resource/Aan;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Wallace_Shawn;0
http://dbpedia.org/resource/Puccini_for_Beginners;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Blake_Foster;0
http://dbpedia.org/resource/Smart_People;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Josh_Brolin;0
http://dbpedia.org/resource/True_Grit_(2010_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ashley_Tesoro;0
http://dbpedia.org/resource/The_King's_Speech;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Anne-Marie_Duff;0
http://dbpedia.org/resource/Footpath_(2003_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Miss_Kumari;0
http://dbpedia.org/resource/The_Day_After_Tomorrow;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Lewis_Waller;0
http://dbpedia.org/resource/Kamaladalam;http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Robert_Downey_Jr.;0
http://dbpedia.org/resource/Password_(2019_Bangladeshi_film);http://dbpedia.org/ontology/starring;http://dbpedia.org/resource/Ian_Holm;0
