subject;predicate;object;0/1,
http://dbpedia.org/resource/Jon_Kleinberg;http://dbpedia.org/property/education;http://dbpedia.org/resource/Harvard_University;0,
http://dbpedia.org/resource/Garland_E._Allen;http://dbpedia.org/property/education;http://dbpedia.org/resource/Harvard_University;0,
http://dbpedia.org/resource/Allan_Horwitz;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_California,_Berkeley;0
http://dbpedia.org/resource/Neal_Schmitt;http://dbpedia.org/property/education;http://dbpedia.org/resource/Vrije_Universiteit_Amsterdam;0,
http://dbpedia.org/resource/K._Daniel_O'Leary;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Ghana;0,
http://dbpedia.org/resource/Vincenzo_Di_Nicola;http://dbpedia.org/property/education;http://dbpedia.org/resource/Emory_University;0,
http://dbpedia.org/resource/Scott_Fahlman;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Maine;0,
http://dbpedia.org/resource/Jon_Kleinberg;http://dbpedia.org/property/education;http://dbpedia.org/resource/Brown_University;0,
http://dbpedia.org/resource/James_Unnever;http://dbpedia.org/property/education;http://dbpedia.org/resource/Massachusetts_Institute_of_Technology;0,
http://dbpedia.org/resource/Charles_Geschke;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Arizona;0,
http://dbpedia.org/resource/Neal_Schmitt;http://dbpedia.org/property/education;http://dbpedia.org/resource/Indiana_University;0,
http://dbpedia.org/resource/Joanne_Berger-Sweeney;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Bristol;0,
http://dbpedia.org/resource/Robin_Engel;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Louisville;0,
http://dbpedia.org/resource/John_Hughes_(neuroscientist);http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Science_and_Technology_of_China;0,
http://dbpedia.org/resource/Garland_E._Allen;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Bristol;0,
http://dbpedia.org/resource/James_Unnever;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_Illinois_Urbana-Champaign;0,
http://dbpedia.org/resource/Mike_Paterson;http://dbpedia.org/property/education;http://dbpedia.org/resource/California_Institute_of_Technology;0,
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/property/education;http://dbpedia.org/resource/Pennsylvania_State_University;0,
http://dbpedia.org/resource/Stephen_R._Bourne;http://dbpedia.org/property/education;http://dbpedia.org/resource/Cornell_University;0,
http://dbpedia.org/resource/Douglas_Easton;http://dbpedia.org/property/education;http://dbpedia.org/resource/University_of_California;0,
