subject;predicate;object;0/1,
http://dbpedia.org/resource/K._Daniel_O'Leary;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Exoplanet;0,
http://dbpedia.org/resource/John_C._Crabbe;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Gravitation_(book);0,
http://dbpedia.org/resource/Scott_Fahlman;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Smalltalk;0,
http://dbpedia.org/resource/David_H._Frisch;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Lucid_Inc.;0,
http://dbpedia.org/resource/William_Michael_Lynn;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Organizational_behavior;0,
http://dbpedia.org/resource/Norman_Allinger;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Royal_College_of_Paediatrics_and_Child_Health;0,
http://dbpedia.org/resource/June_Lloyd,_Baroness_Lloyd_of_Highbury;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Sociology_of_law;0
http://dbpedia.org/resource/Stephen_R._Bourne;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Genetics;0,
http://dbpedia.org/resource/Dan_Ingalls;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Quantum_chromodynamics;0,
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Wilson_loop;0,
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/A-normal_form;0,
http://dbpedia.org/resource/Kenneth_G._Wilson;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Advanced_Debugger;0,
http://dbpedia.org/resource/Matthias_Felleisen;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Analysis_of_algorithms;0,
http://dbpedia.org/resource/Megan_Schwamb;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Norris_Bradbury;0,
http://dbpedia.org/resource/Scott_Fahlman;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Bit_blit;0,
http://dbpedia.org/resource/Kenneth_G._Wilson;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Lipid_metabolism;0,
http://dbpedia.org/resource/David_H._Frisch;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Auction_theory;0,
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Roman_ring;0,
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Model_organism;0,
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Oracle_bone_script;0,
http://dbpedia.org/resource/Scott_Fahlman;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Genetics;0,
http://dbpedia.org/resource/Stephanie_Kwolek;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Galantamine;0,
http://dbpedia.org/resource/Neal_Schmitt;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Kevlar;0,
http://dbpedia.org/resource/Scott_Fahlman;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Racket_(programming_language);0,
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Race_and_crime_in_the_United_States;0,
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/LIGO;0,
http://dbpedia.org/resource/Yves_Meyer;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Intimate_partner_violence;0,
http://dbpedia.org/resource/Walter_Hayman;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Nuclear_weapon;0,
http://dbpedia.org/resource/Robin_Engel;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Genetics;0,
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Racial_profiling;0,
http://dbpedia.org/resource/Mike_Paterson;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Renormalization_group;0,
http://dbpedia.org/resource/Garland_E._Allen;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Burrows�Wheeler_transform;0,
http://dbpedia.org/resource/Stephen_R._Bourne;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Twin_study;0,
http://dbpedia.org/resource/John_Hughes_(neuroscientist);http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Asymptotic_freedom;0,
http://dbpedia.org/resource/Stephen_R._Bourne;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Trans-Neptunian_object;0,
http://dbpedia.org/resource/June_Lloyd,_Baroness_Lloyd_of_Highbury;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Gold;0
http://dbpedia.org/resource/Dan_Ingalls;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/ALGOL_68C;0,
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Quantitative_genetics;0,
http://dbpedia.org/resource/Paul_Milgrom;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Intel;0,
http://dbpedia.org/resource/Stephen_R._Bourne;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Type_safety;0,
http://dbpedia.org/resource/Dan_Ingalls;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/Neglected_tropical_diseases;0,
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/knownFor;http://dbpedia.org/resource/The_Unix_System;0,
