subject;predicate;object;0/1,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Allegheny_Mountain_Collegiate_Conference;0,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/United_Nations_Academic_Impact;0,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/European_Association_of_Conservatoires;0,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Higher_Education_Commission_(Pakistan);0,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/International_Alliance_of_Research_Universities;0,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Indian_Universities;0,
http://dbpedia.org/resource/Bangladesh_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);0,
http://dbpedia.org/resource/Biju_Patnaik_University_of_Technology;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Universities_UK;0,
http://dbpedia.org/resource/Brazosport_College;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Council_of_Ontario_Universities;0,
http://dbpedia.org/resource/Comilla_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/National_Institutes_of_Technology;0,
http://dbpedia.org/resource/Dhaka_International_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_MBAs;0,
http://dbpedia.org/resource/Eastern_University_(Bangladesh);http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/National_Assessment_and_Accreditation_Council;0,
http://dbpedia.org/resource/Eastern_University_(Bangladesh);http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);0,
http://dbpedia.org/resource/GIFT_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_of_Health_Sciences,_Lahore;0
http://dbpedia.org/resource/GIFT_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_African_Universities;0,
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Excellent_Long-Established_University_Consortium_of_Taiwan;0
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Bangladesh_Technical_Education_Board;0
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Canadian_University_Society_for_Intercollegiate_Debate;0
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/International_Association_of_Universities;0
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Utrecht_Network;0
http://dbpedia.org/resource/Jawaharlal_Nehru_Krishi_Vishwa_Vidyalaya;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_to_Advance_Collegiate_Schools_of_Business;0,
http://dbpedia.org/resource/National_Forensic_Sciences_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Commonwealth_Universities;0,
http://dbpedia.org/resource/Masaryk_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Indian_Universities;0,
http://dbpedia.org/resource/Alagappa_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Indian_Council_of_Agricultural_Research;0,
http://dbpedia.org/resource/Islamic_Azad_University,_West_Tehran_Branch;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(India);0
http://dbpedia.org/resource/Rajasthan_University_of_Health_Sciences;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/National_Assessment_and_Accreditation_Council;0,
http://dbpedia.org/resource/St._Lawrence_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Bar_Council_of_India;0,
http://dbpedia.org/resource/Dibrugarh_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);0,
http://dbpedia.org/resource/CINVESTAV;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/All_India_Council_for_Technical_Education;0,
http://dbpedia.org/resource/Kamla_Nehru_College,_Korba;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Southern_Association_of_Colleges_and_Schools;0
http://dbpedia.org/resource/John_Brown_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);0,
http://dbpedia.org/resource/University_of_Sheffield;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/University_Grants_Commission_(Bangladesh);0,
http://dbpedia.org/resource/Sri_Karan_Narendra_Agriculture_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Institution_of_Engineers,_Bangladesh;0
http://dbpedia.org/resource/Al-Hussein_Bin_Talal_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_African_Universities;0,
http://dbpedia.org/resource/Indian_Institute_of_Management_Lucknow;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Universities_Canada;0,
http://dbpedia.org/resource/Swarrnim_Startup_&_Innovation_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Educational_Testing_Service;0,
http://dbpedia.org/resource/Alice_Lloyd_College;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Sandip_University,_Nashik;0
http://dbpedia.org/resource/Technological_Institute_of_Textile_&_Sciences;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Canadian_University_Press;0,
http://dbpedia.org/resource/Oceanographic_Institute_of_Venezuela;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Association_of_Arab_Universities;0,
http://dbpedia.org/resource/Open_University;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/Thiruvalluvar_University;0,
http://dbpedia.org/resource/University_of_Strasbourg;http://dbpedia.org/ontology/affiliation;http://dbpedia.org/resource/European_Society_for_Engineering_Education;0,
