subject;predicate;object;0/1,,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Guwahati;0,,
http://dbpedia.org/resource/Bangladesh_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Charlotte,_North_Carolina;0,
http://dbpedia.org/resource/Biju_Patnaik_University_of_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dallas;0,,
http://dbpedia.org/resource/Biju_Patnaik_University_of_Technology;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Azad_Kashmir;0,,
http://dbpedia.org/resource/Brazosport_College;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Nanterre;0,,
http://dbpedia.org/resource/Comilla_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Vienna;0,,
http://dbpedia.org/resource/Dhaka_International_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Gurgaon_district;0,,
http://dbpedia.org/resource/Eastern_University_(Bangladesh);http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Vilonia,_Arkansas;0,
http://dbpedia.org/resource/GIFT_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Bhilai;0,,
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/India;0,
http://dbpedia.org/resource/Jawaharlal_Nehru_Krishi_Vishwa_Vidyalaya;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sydney;0,,
http://dbpedia.org/resource/Jinnah_University_for_Women;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Hyderabad,_Sindh;0,
http://dbpedia.org/resource/Metropolitan_University,_Sylhet;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Uttarakhand;0,
http://dbpedia.org/resource/Murari_Chand_College;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Lamachaur;0,,
http://dbpedia.org/resource/Govind_Guru_Tribal_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Lucknow;0,,
http://dbpedia.org/resource/GSM_London;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhaka;0,,
http://dbpedia.org/resource/English_and_Foreign_Languages_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Rourkela;0,,
http://dbpedia.org/resource/Allen_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Chhend_Colony;0,,
http://dbpedia.org/resource/University_of_Kotli;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Lake_Jackson,_Texas;0,
http://dbpedia.org/resource/Symbiosis_International_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Comilla;0,,
http://dbpedia.org/resource/Australian_National_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhaka;0,,
http://dbpedia.org/resource/Technological_Educational_Institute_of_Western_Macedonia;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Dhaka;0,,
http://dbpedia.org/resource/University_College_of_Engineering,_Panruti;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Gujranwala;0,
http://dbpedia.org/resource/Rajiv_Gandhi_College_of_Engineering,_Research_and_Technology,_Chandrapur;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Kushtia;0
http://dbpedia.org/resource/World_University_of_Design;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Jabalpur;0,,
http://dbpedia.org/resource/University_of_Haifa;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Karachi;0,,
http://dbpedia.org/resource/Ariel_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sylhet;0,,
http://dbpedia.org/resource/University_of_North_Carolina_at_Charlotte;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Sylhet;0,,
http://dbpedia.org/resource/Govind_Guru_Tribal_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Avadi;0,,
http://dbpedia.org/resource/GSM_London;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Lushoto;0,,
http://dbpedia.org/resource/English_and_Foreign_Languages_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Kopargaon;0,,
http://dbpedia.org/resource/Allen_University;http://dbpedia.org/ontology/city;http://dbpedia.org/resource/Cotonou;0,,
