subject;predicate;object;0/1,
http://dbpedia.org/resource/Babasaheb_Bhimrao_Ambedkar_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Bangladesh_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Biju_Patnaik_University_of_Technology;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Brazosport_College;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Comilla_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Dhaka_International_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Eastern_University_(Bangladesh);http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/GIFT_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Islamic_University,_Bangladesh;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0
http://dbpedia.org/resource/Jawaharlal_Nehru_Krishi_Vishwa_Vidyalaya;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Jinnah_University_for_Women;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Metropolitan_University,_Sylhet;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0
http://dbpedia.org/resource/Murari_Chand_College;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Pakistan_Shipowners'_Government_College;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Prime_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Mongolian_University_of_Life_Sciences;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Hanken_School_of_Economics;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Cleary_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Quaid-e-Azam_Law_College;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/ITM_Vocational_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/National_Sun_Yat-sen_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/PERI_Institute_of_Technology;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Jesus_and_Mary_College;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Albertian_Institute_of_Management;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Collegium_Civitas;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Sobey_School_of_Business;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Pt._Jawahar_Lal_Nehru_Government_Medical_College_And_Hospital_Chamba;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Chandpur_Science_and_Technology_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Shaheed_Benazir_Bhutto_Women_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Shri_Venkateshwara_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Kirodimal_Govt._Polytechnic,_Raigarh;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0
http://dbpedia.org/resource/AdventHealth_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Public_university;0,
http://dbpedia.org/resource/Aalto_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Aaniiih_Nakoda_College;http://dbpedia.org/property/type;http://dbpedia.org/resource/Research_university;0,
http://dbpedia.org/resource/Aarhus_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Abasaheb_Garware_College;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Abat_Oliba_CEU_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Private_university;0,
http://dbpedia.org/resource/Abdul_Wali_Khan_University_Mardan;http://dbpedia.org/property/type;http://dbpedia.org/resource/Research_university;0,
http://dbpedia.org/resource/Abertay_University;http://dbpedia.org/property/type;http://dbpedia.org/resource/Research_university;0,
